X1	X2	X3
Trump	2016-03-15 23:54:29	"""@DumpFoxNews: @FoxNews @megynkelly  If media wasn't so biased against Trump, he would've won all of the delegates."
Staff	2016-03-31 19:05:59	Just had a very nice meeting with @Reince Priebus and the @GOP. Looking forward to bringing the Party  together --- and it will happen!
Trump	2016-02-22 20:37:55	It is so important to audit The Federal Reserve, and yet Ted Cruz missed the vote on the bill that would allow this to be done.
Staff	2016-05-28 20:28:40	The media is on a new phony kick about my management style. I spend much less money &amp; get much better results! What we need as Prez!
Staff	2016-06-15 02:40:32	Thank you Greensboro, North Carolina! Will be back soon! #AmericaFirst https://t.co/R29WMGNLGG
Staff	2016-02-02 22:23:53	On my way to New Hampshire- expecting a big and spirited crowd!  #FITN #Trump2016  https://t.co/oUg1ErD0j7 https://t.co/9Hb7JO3wrZ
Staff	2016-03-30 21:35:14	Thank you- Appleton, Wisconsin! #WIPrimary #Trump2016  https://t.co/XkbTWHpEvy https://t.co/klUNUV2J5S
Trump	2016-05-04 10:04:23	I will be interviewed on @Morning_Joe at 6:15 A.M. Enjoy!
Staff	2016-06-19 02:57:51	How can the NY Times show an empty room hours before my speech even started when they knew it was going to be packed? So totally dishonest!
Staff	2016-07-30 18:34:54	#CrookedHillary https://t.co/xyoPFJmByp
Trump	2016-02-03 14:21:03	"And finally, Cruz strongly told thousands of caucusgoers (voters) that Trump was strongly in favor of ObamaCare and ""choice"" - a total lie!"
Staff	2016-03-08 17:39:43	#VoteTrumpMS! #Trump2016 https://t.co/KaHD0uENla
Trump	2016-08-07 21:31:46	"The media is going crazy. They totally distort so many things on purpose. Crimea, nuclear, ""the baby"" and so much more. Very dishonest!"
Staff	2016-08-04 02:27:52	Thank you Jacksonville, Florida! #MakeAmericaGreatAgain  https://t.co/xrTQjt9WOC https://t.co/VSnBoQYoZs
Trump	2016-02-27 15:25:07	I am self-funding my campaign and am therefore not controlled by the lobbyists and special interests like lightweight Rubio or Ted Cruz!
Staff	2016-05-06 21:01:44	Response to @LindseyGrahamSC: https://t.co/lSDE7LHc95
Staff	2016-07-19 20:38:20	#MakeAmericaWorkAgain  #TrumpPence16 #RNCinCLE  https://t.co/bsUp4MSysD https://t.co/mYBjp03XYf
Trump	2016-07-31 13:32:55	I was viciously attacked by Mr. Khan at the Democratic Convention. Am I not allowed to respond? Hillary voted for the Iraq war, not me!
Staff	2016-02-16 22:54:29	Thank you, South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/pIDqnY4IL3
Trump	2016-05-17 01:08:17	"""In politics, and in life, ignorance is not a virtue."" This is a primary reason that President Obama is the worst president in U.S. history!"
Trump	2016-04-20 00:54:52	.@CNN is so negative it is impossible to watch. Terrible panel, angry haters. Bill O  @oreillyfactor said such an amazing thing about me!
Staff	2016-08-01 21:42:57	Crooked Hillary Clinton is 100% owned by her donors. #ImWithYou #MAGA https://t.co/iYM3CCWS2z
Trump	2016-07-31 20:09:00	The dishonest media is fawning over the Democratic Convention. I wonder why, then, my speech had millions of more viewers than Crooked H?
Trump	2016-05-28 13:47:10	The U.S. has 69 treaties with other countries where we would have to defend them and their borders. How nice, but what do we get? NOT ENOUGH
Staff	2016-05-03 14:22:18	MAKE AMERICA GREAT AGAIN! #INPrimary #VoteTrump  https://t.co/MBgGXSYluW https://t.co/YPwDZ8Irch
Trump	2016-04-03 13:41:27	"""@007cigarjoe: #MakeAmericaGreatAgain #Trump2016 @realDonaldTrump IS THE ONLY DEAL !!! https://t.co/PQHIM7AbvK"""
Staff	2016-06-17 17:07:23	THANK YOU! #AmericaFirst https://t.co/qp07UfnnjM
Staff	2016-05-31 23:17:33	I am getting great credit for my press conference today. Crooked Hillary should be admonished for not having a press conference in 179 days.
Staff	2016-07-19 04:14:11	It was truly an honor to introduce my wife, Melania. Her speech and demeanor were absolutely incredible. Very proud! #GOPConvention
Staff	2016-03-30 16:35:57	THANK YOU, NEW YORK! #MakeAmericaGreatAgain #Trump2016 https://t.co/PuqiM93zOS https://t.co/fSgpKjwk2q
Trump	2016-03-22 14:53:34	President Obama looks and sounds so ridiculous making his speech in Cuba, especially in the shadows of Brussels. He is being treated badly!
Staff	2016-03-02 01:02:19	Thank you Alabama! #Trump2016 #SuperTuesday
Staff	2016-02-27 05:06:27	Thank you Pastor Robert Jeffress! #MakeAmericaGreatAgain #Trump2016 https://t.co/ndKu8m8RY2
Trump	2016-05-25 12:31:56	Goofy Senator Elizabeth Warren @elizabethforma has done less in the U.S. Senate than practically any other senator. All talk, no action!
Staff	2016-07-07 11:33:49	Great being in Cincinnati, Ohio last night- thank you! Off to Washington D.C. now. #Trump2016 #AmericaFirst https://t.co/sryJgRyd56
Trump	2016-04-09 02:52:33	"""@AlexNightrasor: @realDonaldTrump @lilrachiepoo Trump will be our best president since Reagan!"
Staff	2016-01-27 22:49:44	It was the childishly written &amp; taunting PR statement by Fox that made me not do the debate, more so than lightweight reporter, @megynkelly.
Trump	2016-04-21 10:22:03	Senator Ted Cruz has been MATHEMATICALLY ELIMINATED from race. He said Kasich should get out for same reason. I think both should get out!
Trump	2016-02-26 12:27:33	"""@SkylerDeckard: @realDonaldTrump ""that's because you've never hired anyone to do work before"" favorite line from tonights debate."""
Staff	2016-07-12 00:56:29	Senior United States District Judge Robert E. Payne today ruled in favor of Trump campaign delegates who had argued..https://t.co/qVwfjgCHU7
Staff	2016-05-12 19:22:18	Great meeting with @SenateMajLdr Mitch McConnell and Republican leaders in D.C. #Trump2016 https://t.co/R0NuOrZISX
Trump	2016-03-23 01:53:05	Lyin' Ted Cruz just used a picture of Melania from a G.Q. shoot in his ad. Be careful, Lyin' Ted, or I will spill the beans on your wife!
Trump	2016-06-14 12:28:16	AMERICA FIRST!
Trump	2016-07-04 22:30:15	Why is President Obama allowed to use Air Force One on the campaign trail with Crooked Hillary? She is flying with him tomorrow. Who pays?
Trump	2016-06-04 13:04:33	Many of the thugs that attacked the peaceful Trump supporters in San Jose were illegals. They burned the American flag and laughed at police
Staff	2016-02-26 16:17:29	Wow, every poll said I won the debate last night. Great honor!
Trump	2016-04-10 02:47:20	"""@PennyHicks13: @Carolde @kisster1 @FoxNews   Your tax and economic plans are second to none! https://t.co/Q08Kp4esxl Media shld report."
Staff	2016-07-17 17:30:42	We grieve for the officers killed in Baton Rouge today. How many law enforcement and people have to... https://t.co/pPNrzG8kEa
Staff	2016-01-23 01:32:32	.@BrentBozell, one of the National Review lightweights, came to my office begging for money like a dog. Why doesn't he say that?
Staff	2016-06-30 19:29:48	The very dishonest @NBCNews refuses to accept the fact that I have forgiven my $50 million loan to my campaign. Done deal!
Trump	2016-06-08 11:43:19	"""@DjD_Thunder: Standing by @realDonaldTrump all the way to the White House! https://t.co/z4X1o5xHBh"""
Trump	2016-04-24 02:01:25	.@Borisep was great on @JudgeJeanine tonight. Very smart commentary that will prove to be correct!
Staff	2016-05-07 00:14:54	Just met with courageous family of Sarah Root in Nebraska. Sarah was horribly killed by illegal immigrant, but leaves behind amazing legacy.
Staff	2016-05-11 00:05:31	Thank you West Virginia! #MakeAmericaGreatAgain #Trump2016 https://t.co/iCGcF21fWY
Trump	2016-06-04 23:49:35	"""@sareed59:  Our ineffective #POTUS has to make a speech in #Elkhart to make everything look great. Mr. Trump #MakeAmericaGreatAgain"""
Trump	2016-06-29 22:57:44	I will be on @oreillyfactor at 8:00 P.M. Enjoy!
Trump	2016-02-17 03:17:32	"""@Good2bqueen67:  @brithume @megynkelly They're too lame to get it, Sir. When you win the election they'll get it."""
Trump	2016-04-29 18:28:05	We are now at 1001 delegates. We will win on the first ballot and are not wasting time and effort on other ballots because system is rigged!
Trump	2016-03-20 11:55:27	Will be interviewed on @ThisWeekABC this morning. Enjoy!
Trump	2016-05-29 16:45:44	Heading to D.C. to see and hear ROLLING THUNDER. Amazing people that LOVE OUR COUNTRY. Great spirit!
Trump	2016-07-19 13:36:43	"""@RoxaneTancredi:  Democrats are coming to TRUMP. I used to be proud of the dem party. No more It is crooked and not for the people."""
Staff	2016-06-10 02:29:27	Join me! #Trump2016  6/10: Richmond https://t.co/I2CJSqAlyl  6/11: Tampa https://t.co/6jk33orxXG  6/11: Pittsburgh https://t.co/bwgL1ZXtC7
Staff	2016-05-11 17:43:33	#MakeAmericaGreatAgain #Trump2016 https://t.co/CLhqgybbYR
Trump	2016-07-27 10:01:39	Hopefully the violent and vicious killing by ISIS of a beloved French priest is causing people to start thinking rationally. Get tough!
Trump	2016-04-11 12:21:11	"""@AnnesLimo: @realDonaldTrump @WVTTS1017 Thanks for Rochester rally.""  Great people, thank you!"
Staff	2016-07-22 04:01:07	FORMAL ACCEPTANCE OF THE NOMINATION! #TrumpPence16 https://t.co/E6ZtVjSQZa
Trump	2016-07-03 20:16:23	Only a fool would believe that the meeting between Bill Clinton and the U.S.A.G. was not arranged or that Crooked Hillary did not know.
Staff	2016-06-14 18:09:57	HAPPY 241st BIRTHDAY to the @USArmy! THANK YOU! https://t.co/mXsxkfcstC
Staff	2016-01-23 02:04:23	Cruz did not renounce his Canadian citizenship as a US Senator- only when he started to run for #POTUS. He could be Canadian Prime Minister.
Trump	2016-04-11 11:17:16	"""@TimeHasCome1: @WayneDupreeShow @ThePatriot143 Trump needs to hold a massive protest rally in Colorado. He'd get 100k &amp; own the news cycle"""
Trump	2016-05-06 11:50:19	"""@Ausbiz:  Many would say that you are the only talented person running for the top job this time! #MakeAmericaGreatAgain #TrumpTrain"""
Trump	2016-02-27 12:47:25	"""@SassyPantsjj: Michigan GOP poll 2/24/2016 Trump 35.5 Rubio 15.0 Cruz 14.3 Kasich 12.8 Carson 8.3 @realDonaldTrump"" Wow!"
Staff	2016-07-19 19:34:40	#MakeAmericaWorkAgain #TrumpPence16 #RNCinCLE  https://t.co/xlB2C1cpKp https://t.co/5Kv03luMZW
Trump	2016-03-03 11:47:21	"I am the only one who can beat Hillary Clinton. I am not a Mitt Romney, who doesn't know how to win. Hillary wants no part of ""Trump"""
Trump	2016-06-04 04:29:03	Muhammad Ali is dead at 74! A truly great champion and a wonderful guy. He will be missed by all!
Trump	2016-03-23 02:59:29	Incompetent Hillary, despite the horrible attack in Brussels today, wants borders to be weak and open-and let the Muslims flow in.  No way!
Staff	2016-03-30 03:10:20	.@DavidGregory got thrown off of TV by NBC, fired like a dog! Now he is on @CNN being nasty to me. Not nice!
Staff	2016-06-26 02:37:59	We only want to admit those who love our people and support our values. #AmericaFirst
Staff	2016-06-08 03:32:02	Thank you South Dakota! #Trump2016  https://t.co/GbRTQdxIj4 https://t.co/pNqwOrY0ZB
Staff	2016-04-22 23:33:20	Thank you California! See you soon! #MakeAmericaGreatAgain #Trump2016 https://t.co/uJCqbQYYWR https://t.co/8rqI4mQ3Tw
Trump	2016-04-14 04:11:46	Big protest march in Colorado on Friday afternoon! Don't let the bosses take your vote!
Staff	2016-07-12 16:45:45	#CrookedHillary is not qualified! https://t.co/6qi7KTW43O
Staff	2016-05-22 19:37:05	How can Crooked Hillary say she cares about women when she is silent on radical Islam, which horribly oppresses women?
Trump	2016-02-16 11:22:02	New PPP Poll just out - Trump up big, Cruz, Rubio and Bush down. The debate results, even with a stacked RNC audience, were wonderful!
Trump	2016-08-01 11:10:51	Mr. Khan, who does not know me, viciously attacked me from the stage of the DNC and is now all over T.V. doing the same - Nice!
Trump	2016-06-29 00:31:48	"""@jtsbk:  @AllenWest thanks for sharing Eric we need @realDonaldTrump now as this administration is incapable of keeping our country safe"""
Staff	2016-03-22 22:41:46	Pres. Obama should leave the baseball game in Cuba immediately &amp; get home to Washington- where a #POTUS, under a serious emergency belongs!
Trump	2016-07-29 14:06:38	If Michael Bloomberg ran again for Mayor of New York, he wouldn't get 10% of the vote - they would run him out of town!  #NeverHillary
Staff	2016-03-03 02:08:02	#MakeAmericaGreatAgain #Trump2016 Video: https://t.co/IbcE5tsRf7 https://t.co/bHqg1rkFy3
Staff	2016-04-03 23:48:11	Congratulations to @gohermie for winning the @ShellHouOpen. We are all proud of you @TNGCBedminster &amp; all @TrumpGolf clubs! Great going!
Trump	2016-07-29 17:43:52	I am watching Crooked Hillary speak. Same old stuff, our country needs change!
Staff	2016-07-07 20:09:59	Thank you Speaker @PRyan! #AmericaFirst #Trump2016  https://t.co/PPsyxGPdFc
Trump	2016-06-26 21:21:50	People in our country want borders, and without them the old line pols like Crooked Hillary will not win. It is time for CHANGE -- and JOBS!
Trump	2016-06-15 13:38:17	"An: Media fell all over themselves criticizing what DonaldTrump ""may have insinuated about @POTUS."" But he's right: https://t.co/bIIdYtvZYw"
Staff	2016-08-05 02:19:08	Obama's disastrous judgment gave us ISIS, rise of Iran, and the worst economic numbers since the Great Depression!
Trump	2016-05-18 00:43:27	"""@ladytsbrug: Lovely interview, Mr. Trump! @realDonaldTrump"" Thanks."
Trump	2016-05-10 10:20:40	Get out and vote West Virginia, we will MAKE AMERICA GREAT AGAIN!
Staff	2016-07-30 18:06:17	Violent crime is rising across the United States, yet the DNC convention ignored it. Crime reduction will be one of my top priorities.
Trump	2016-06-26 16:21:15	The @ABC poll sample is heavy on Democrats.  Very dishonest - why would they do that? Other polls good!
Trump	2016-02-26 12:29:59	"""@MJP1370: @realDonaldTrump Cruz talks about Hillary all the time because he knows he can't beat you ! Trump will win Texas !"""
Trump	2016-05-21 01:51:57	Crooked Hillary Clinton wants to essentially abolish the 2nd Amendment. No gun owner can ever vote for Clinton!
Staff	2016-07-27 16:03:07	Join our next Vice President, @Mike_Pence in Wisconsin tonight &amp; Michigan Thursday!  MI: https://t.co/daR2xIhCEs WI: https://t.co/LKc7e4VZkB
Staff	2016-07-14 14:53:46	Another new poll. Thank you for your support! Join the MOVEMENT today!  #ImWithYou https://t.co/3KWOl2ibaW https://t.co/miT4atHxQz
Staff	2016-04-15 21:12:00	Thank you America! #Trump2016 https://t.co/PTKkrLeuCB
Staff	2016-06-19 01:10:55	I love you Arizona! Thank you! #Trump2016 #AmericaFirst https://t.co/QuTsSmeVdO
Staff	2016-05-26 21:15:16	I find it offensive that Goofy Elizabeth Warren, sometimes referred to as Pocahontas, pretended to be Native American to get in Harvard.
Trump	2016-05-21 16:08:26	.@CNN is so negative, getting even worse as I get closer. Just had two anti-Trump losers with zero rebuttal from my team. Turning off!
Trump	2016-01-16 13:31:10	Ted Cruz purposely, and illegally, did not list on his personal disclosure form personally guaranteed loans from banks. They own him!
Trump	2016-02-09 12:23:37	The polls are now showing that I am the best to win the GENERAL ELECTION. States that are never in play for Repubs will be won by me. Great!
Trump	2016-05-30 11:10:12	"""@TeaPartyNevada: #Trump2016 ""Illegals are taken care of better than our veterans.""  https://t.co/KKIgM4rNma https://t.co/1cEZ8wG7Cy"""
Trump	2016-06-27 13:18:12	The media is unrelenting. They will only go with and report a story in a negative light. I called Brexit (Hillary was wrong), watch November
Trump	2016-04-24 14:01:37	I will be in Maryland this afternoon for a major rally. Things are looking good for Tuesday!
Staff	2016-08-04 19:23:41	Happy 226th Birthday to the United States Coast Guard. Thank you @USCG! #CoastGuardDay https://t.co/hr4O8Xgq2R
Trump	2016-03-08 23:53:48	I hear @NBCNews / @WSJ came out with another one of their phony polls. While I am leading, they are totally discredited after last S.C. poll
Trump	2016-03-15 16:16:16	"I will bring our jobs back to the U.S., and keep our companies from leaving. Nobody else can do it. Our economy will ""sing"" again."
Trump	2016-03-02 21:50:30	Why can't the leaders of the Republican Party see that I am bringing in new voters by the millions-we are creating a larger, stronger party!
Trump	2016-05-18 00:53:14	I like Michael Douglas!
Staff	2016-01-28 03:41:21	On Greta, 87% of the people said they would not watch the debate if I'm not in it. Wow- what an honor!
Trump	2016-02-10 05:11:43	"""@MarkHalperin: My report card grades for the 2 New Hampshire winners: DonaldTrump A: v strong energy/close. BernieSanders B+: went too long"
Trump	2016-03-23 04:04:34	Hopefully the Republican Party can come together and have a big WIN in November, paving the way for many great Supreme Court Justices!
Staff	2016-05-06 18:03:34	Joe Scarborough initially endorsed Jeb Bush and Jeb crashed, then John Kasich and that didn't work. Not much power or insight!
Staff	2016-07-12 22:19:52	Thank you Iowa- see you soon! #Trump2016 #ImWithYou  https://t.co/gva0MbgnuO https://t.co/PE1jdqZysc
Staff	2016-07-29 13:27:24	Join @mike_pence at the University of Northwestern Ohio- tonight at 7pm. Tickets: https://t.co/DvP8p7ueNU
Trump	2016-04-30 23:33:19	Thank you @MikeOzanian for the nice comments on @FoxNews today. Great job!
Staff	2016-07-02 15:32:04	Thank you for your support! #AmericaFirst #LeadRight2016  https://t.co/a6f6xZNrym
Staff	2016-07-26 17:53:40	Join us in Toledo, Ohio- tomorrow night at 8pm! #TrumpPence16 #MAGA Tickets: https://t.co/ERNRrksikq https://t.co/zmGZauCnQF
Trump	2016-03-15 14:53:41	Watching John Kasich being interviewed - acting so innocent and like such a nice guy. Remember him in second debate, until I put him down.
Staff	2016-08-05 22:42:08	Thank you Des Moines, Iowa! Governor @Mike_Pence and I appreciate your support! #MAGA #TrumpTrain https://t.co/gr6tGqqmcm
Staff	2016-08-01 18:43:25	CNN anchors are completely out of touch with everyday people worried about rising crime, failing schools and vanishing jobs.
Staff	2016-07-01 12:11:41	As Bernie Sanders said, Hillary Clinton has bad judgement. Bill's meeting was probably initiated and demanded by Hillary!
Trump	2016-05-04 04:00:46	.@oreillyfactor  Please correct, I WON Virginia!
Trump	2016-06-23 02:24:01	"""@justininglv: @realDonaldTrump great speech today!! It's all about America and that's why you will become president!!!!""  Thank you."
Staff	2016-04-03 03:15:09	Thank you Eau Claire, Wisconsin.  #VoteTrump on Tuesday, April 5th! MAKE AMERICA GREAT AGAIN! https://t.co/JI5JqwHnMC
Trump	2016-02-03 19:09:38	I will be interviewed on @greta at 7:00 P.M. Enjoy! @FoxNews
Staff	2016-04-11 23:02:54	Join me in Rome, NY- tomorrow! #Trump2016 #NYPrimary Tickets available: https://t.co/VGCdQubia1
Staff	2016-06-17 21:14:59	Join me in Phoenix, Arizona tomorrow at 4pm! #Trump2016 #AmericaFirst https://t.co/PVB6QX7VpK https://t.co/B51r30Mazd
Trump	2016-03-24 15:55:32	Europe and the U.S. must immediately stop taking in people from Syria. This will be the destruction of civilization as we know it! So sad!
Staff	2016-04-22 15:00:11	I met Prince on numerous occasions. He was an amazing talent and wonderful guy. He will be greatly missed!
Trump	2016-05-15 02:06:11	"""@stranahan: Sheldon Adelson Pledges $100 Million to Elect Trump President - Breitbart https://t.co/aRXPHAlCLC"""
Staff	2016-07-25 16:46:33	#MakeAmericaGreatAgain  https://t.co/EXsoUOsEP4 https://t.co/3ji7a14GSw
Staff	2016-07-13 22:28:44	If I win the Presidency, we will swamp Justice Ginsburg with real judges and real legal opinions!
Trump	2016-05-30 21:55:41	I should have easily won the Trump University case on summary judgement but have a judge, Gonzalo Curiel, who is totally biased against me.
Staff	2016-07-25 21:24:28	Thank you Roanoke, Virginia- be back soon! #TrumpPence16 https://t.co/rwxXhfFsn1 https://t.co/HwqI2iGPDu
Trump	2016-08-06 11:53:00	Hillary Clinton is being badly criticized for her poor performance in answering questions. Let us all see what happens!
Trump	2016-06-11 11:18:19	Mitt Romney had his chance to beat a failed president but he choked like a dog. Now he calls me racist-but I am least racist person there is
Trump	2016-06-25 12:00:29	So funny, Crooked Hillary called BREXIT so incorrectly, and now she says that she is the one to deal with the U.K. All talk, no action!
Staff	2016-03-02 23:54:31	I would love to see the Republican party and everyone get together- and unify. Video: https://t.co/RWEnPUJO23 https://t.co/RT8Gmf6WHL
Trump	2016-02-22 16:12:21	Many people are now saying I won South Carolina because of the last debate. I showed anger and the people of our country are very angry!
Trump	2016-02-22 14:49:44	"""@ScotMReed: No matter what liar sleazeball @rickwtyler says about @tedcruz in Tennessee. We have early voting and @realDonaldTrump has won."
Trump	2016-05-20 23:27:38	"""@montgomeriefdn: @TrumpTurnberry Best Links Course in Britain. Ailsa Course opens June '16 Can't wait to play it https://t.co/HnQbj3ipuS"""
Staff	2016-05-03 16:50:10	Polls close at 6pm! #INPrimary #Trump2016 #VoteTrump  https://t.co/DT9WkYAGEK
Trump	2016-03-16 17:47:07	I am making a big speech the night of the @FoxNews debate, but I wish everyone well. Yesterday was a big day for me with 5 wins!
Trump	2016-05-20 09:58:47	Look where the world is today, a total mess, and ISIS is still running around wild. I can fix it fast, Hillary has no chance!
Trump	2016-05-30 20:13:17	I would have had millions of votes more in the primaries (than Crooked Hillary) if I only had one opponent, instead of sixteen. Broke record
Staff	2016-01-16 18:22:40	Everybody that loves the people of New York, and all they have been thru, should get hypocrites like Ted Cruz out of politics!
Trump	2016-07-02 20:39:39	It is impossible for the FBI not to recommend criminal charges against Hillary Clinton. What she did was wrong! What Bill did was stupid!
Staff	2016-05-16 21:50:40	Rowanne Brewer, the most prominently depicted woman in the failing @nytimes story yesterday joined @foxandfriends.  https://t.co/qkK3LJPoQQ
Trump	2016-05-30 11:05:34	The endorsement of me by the 16,500 Border Patrol Agents was the first time that they ever endorsed a presidential candidate. Nice!
Staff	2016-04-03 03:09:48	I will be interviewed by @jdickerson on @FaceTheNation tomorrow morning. Enjoy! #Trump2016
Trump	2016-05-03 23:08:44	Lyin' Ted Cruz consistently said that he will, and must, win Indiana. If he doesn't he should drop out of the race-stop wasting time &amp; money
Trump	2016-07-20 12:47:56	Bill Hemmer of @FoxNews was very nice in explaining the excitement and energy in the arena. More than in past years.
Trump	2016-06-30 02:30:59	Tremendous day in Massachusetts and Maine. Thank you to everyone for making it so special!
Trump	2016-02-23 01:29:02	Just watched the very incompetent Mitt Romney Campaign Strategist, Stuart Stevens. Now I know why Mitt lost so badly. Stevens is a clown!
Trump	2016-06-07 01:51:12	A former Secret Service Agent for President Clinton excoriates Crooked Hillary describing her as ERRATIC &amp; VIOLENT. Bad temperament for pres
Trump	2016-04-11 00:28:54	How is it possible that the people of the great State of Colorado never got to vote in the Republican Primary? Great anger - totally unfair!
Trump	2016-05-01 03:10:35	I will be in Indiana on Sunday and Monday at four MAKE AMERICA GREAT AGAIN rallies. See you there!
Staff	2016-02-26 21:07:16	Thank you for your support &amp;  friendship- Governor @ChrisChristie! #MakeAmericaGreatAgain #Trump2016 https://t.co/jVI6Q6JH18
Trump	2016-02-22 21:11:17	Ted Cruz should be disqualified from his fraudulent win in Iowa. Weak RNC and Republican leadership probably won't let this happen! Sad.
Staff	2016-05-28 20:28:48	I am always on the front page of the failing @nytimes, but when I won the GOP nomination, I'm in the back of the paper. Very dishonest!
Trump	2016-05-10 13:57:33	It was Rosie O'Donnell who ate the cake in the vicious Hillary commercial about me, not Crooked Hillary! @marthamaccallum
Trump	2016-03-16 13:37:39	.@RepTomMarino  Great job on television this morning. Glad to have you on my side!
Trump	2016-07-30 21:51:25	Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?
Staff	2016-05-26 21:28:22	Thank you! #Trump2016 https://t.co/SPJfMFyPjU
Staff	2016-06-19 01:28:32	See you soon Arizona! #Trump2016 https://t.co/W4z2eW5ay4
Trump	2016-05-18 00:47:51	"""@CostaKenneth: @megynkelly @realDonaldTrump Great interview Megyn"""
Staff	2016-04-26 13:33:24	Thank you @DonaldJTrumpJr &amp; @EricTrump. #Trump2016  https://t.co/CMfcrZjHgM
Staff	2016-06-15 20:04:47	Thank you Atlanta, Georgia! Will be back soon! #AmericaFirst https://t.co/cVJvfcoGOt
Staff	2016-03-07 23:48:33	New ad concerning lightweight Senator Marco Rubio:  https://t.co/cNe0skpB5i
Staff	2016-01-28 04:04:23	#Trump2016 #IACaucus Finder: https://t.co/ANvTcZqfOq https://t.co/thNiQh0nY6
Staff	2016-06-13 20:35:11	I am no fan of President Obama, but to show you how dishonest the phony Washington Post is: https://t.co/cITm8BPixD
Trump	2016-07-17 04:15:49	Goofy Elizabeth Warren, who may be the least productive Senator in the U.S. Senate, must prove she is not a fraud. Without the con it's over
Trump	2016-07-30 22:28:22	Can you imagine if I had the small crowds that Hillary is drawing today in Pennsylvania. It would be a major media event! @CNN @FoxNews
Trump	2016-04-11 11:18:43	"""@WVTTS1017: @realDonaldTrump just listened to you on fox. I love you so much.""  Thank you!"
Staff	2016-05-27 17:35:56	Bill O'Reilly doing a major special on @OreillyFactor tonight- @FoxNews at 8pmE. Watch it, should be good! #Trump2016
Trump	2016-06-04 13:14:26	We just had the worst jobs report since 2010.
Staff	2016-04-21 01:58:17	Had a meeting with the terrific @GovPenceIN of Indiana. So excited to campaign in his wonderful state! https://t.co/73uCyV6ql4
Trump	2016-02-26 07:38:29	"""@Slytle24: @davidaxelrod @realDonaldTrump @CNN he won almost all polls and Mark Halperin gave him an A-"
Trump	2016-04-10 03:02:23	"""@Mutual408Grace: @realDonaldTrump @gene70 California women love Mr Trump too. Will make it happen in New York on April 19. Go out &amp; vote."""
Trump	2016-05-19 02:52:29	My list of potential U.S. Supreme Court Justices was very well recieved. During the next number of weeks I may be adding to the list!
Trump	2016-05-30 10:41:49	Obama says a WALL at our southern border won't enhance our security (wrong) and yet he now wants to build a much bigger wall (fence) at W.H.
Staff	2016-02-16 04:18:28	New South Carolina poll from PPP. Thank you! #VoteTrumpSC https://t.co/6618Oi6vle
Trump	2016-04-09 03:07:00	Isn't it a shame that the person who will have by far the most delegates and many millions more votes than anyone else, me, still must fight
Staff	2016-06-25 16:00:18	Thank you to everyone who came out &amp; joined us @TrumpTurnberry yesterday! @EricTrump @IvankaTrump @DonaldJTrumpJr https://t.co/hQ1JTMrUtG
Trump	2016-06-02 15:10:22	Bernie Sanders was right when he said that Crooked Hillary Clinton was not qualified to be president because she suffers from BAD judgement!
Trump	2016-05-11 20:51:20	In interview I told @AP that my taxes are under routine audit and I would release my tax returns when audit is complete, not after election!
Trump	2016-06-02 15:57:14	Do you ever notice that @CNN gives me very little proper representation on my policies. Just watched-nobody knew anything about my foreign P
Staff	2016-03-31 22:33:09	THANK YOU, NEW YORK! #Trump2016 https://t.co/ONDROBrDwr
Staff	2016-03-09 03:58:28	This was a great evening- I would like to thank everyone for their wonderful support.
Trump	2016-07-21 12:37:53	I am soooo proud of my children, Don, Eric and Tiffany - their speeches, under enormous pressure, were incredible. Ivanka intros me tonight!
Staff	2016-05-28 21:33:58	Don't believe the biased and phony media quoting people who work for my campaign. The only quote that matters is a quote from me!
Staff	2016-01-16 18:26:54	Greatly dishonest of @TedCruz to file a financial disclosure form &amp; not list his lending banks- then pretend he is going to clean up Wall St
Trump	2016-04-20 12:42:59	Ted Cruz is mathematically out of winning the race. Now all he can do is be a spoiler, never a nice thing to do. I will beat Hillary!
Staff	2016-07-08 13:20:47	Last night's horrific execution-style shootings of 12 Dallas law enforcement officers...https://t.co/mwzYU98yTt
Staff	2016-07-14 01:19:51	I will be making the announcement of my Vice Presidential pick on Friday at 11am in Manhattan. Details to follow.
Trump	2016-05-06 12:08:37	Paul Ryan said that I inherited something very special, the Republican Party. Wrong, I didn't inherit it, I won it with millions of voters!
Staff	2016-07-02 15:23:25	Thank you! #AmericaFirst https://t.co/MYG45LxGmH
Trump	2016-07-29 13:16:22	"""@AnnCoulter: ""I believe in science"" Dem code for ""we're shutting down coal mines, steel plants and any other remaining manufacturing"""""
Trump	2016-03-03 03:11:35	"""@Johnsmi01433966: The establishment doesn't like you because they can't control you and get you to lie to us and keep ripping us off."""
Trump	2016-06-08 12:14:32	"""@mariadaq:  HISTORIC!! what's historic is OUR national debt, record unemployment, &amp;pocketbook crisis!THE PEOPLE NEED TRUMP2 make USA RICH!"""
Staff	2016-03-30 17:05:51	Please keep your thoughts &amp; prayers with Melissa Young- Miss Wisconsin 2005. https://t.co/D8RBfufIwH
Trump	2016-03-24 15:49:02	"""@Doctor_S_Freud:  @TheView They're all brain-dead puppets with skeletons in their closet. I say you go on and destroy them all"" A dead show"
